sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
59.279,12.825,12.892,55.107,45.400,ott,2011-02-13 17:30:00,-0.251,0.673,-0.393,0.877,0.081,0.139,-0.062,0.470
83.052,10.825,10.891,78.135,69.540,talo,2011-02-13 17:30:00,-0.359,-0.040,-0.357,-0.007,-0.544,-0.181,-0.382,-0.079
76.400,11.825,11.195,72.067,62.820,rank,2011-02-13 17:30:00,-0.373,-0.268,-0.498,-0.341,0.249,0.198,-0.203,-0.160
64.298,11.825,10.905,59.729,50.020,pina,2011-02-13 17:30:00,-0.065,0.410,-0.155,0.507,-0.014,0.058,0.035,0.296
70.308,11.825,10.996,65.902,56.380,gill,2011-02-13 17:30:00,0.056,0.245,0.028,0.303,-0.115,-0.002,0.066,0.170
87.687,9.825,7.066,65.978,64.050,daws,2011-02-13 17:30:00,-5989875038849183441082571301263410987008.000,-47517077432760344576.000,-5989875038849183441082571301263410987008.000,-47517077432760344576.000,-5989875038849183441082571301263410987008.000,-47517077432760344576.000,,
80.575,10.825,8.427,67.228,61.760,fsim,2011-02-13 17:30:00,-0.160,-0.769,-0.279,-0.038,0.241,-2.552,-0.025,-1.366
76.727,10.825,9.265,67.232,60.020,fsmi,2011-02-13 17:30:00,-0.419,0.239,-0.555,0.384,-0.116,-0.241,-0.267,0.086
73.377,11.825,10.074,66.750,58.220,rabb,2011-02-13 17:30:00,-0.010,-0.005,-0.014,-0.007,0.008,0.002,-0.006,-0.003
67.852,11.825,11.014,63.509,53.860,isll,2011-02-13 17:30:00,-0.230,0.434,-0.345,0.553,-0.081,0.030,-0.094,0.300
73.599,10.825,9.412,64.124,56.660,mcmu,2011-02-13 17:30:00,-0.576,0.206,-0.755,-0.056,0.120,-0.323,-0.343,0.920
96.349,12.825,18.258,87.030,82.520,ale,2011-02-13 17:30:00,-3032988304272402397864780549555855818752.000,-33553275875796762624.000,-3032988304272402397864780549555855818752.000,-33553275875796762624.000,-3032988304272402397864780549555855818752.000,-33553275875796762624.000,,
88.014,11.825,10.422,82.633,74.700,res,2011-02-13 17:30:00,-0.379,0.018,-0.377,0.044,-0.463,-0.084,-0.389,-0.008
85.923,12.825,12.916,80.920,72.680,pon,2011-02-13 17:30:00,-0.032,-0.012,-0.022,-0.009,-0.078,-0.028,-0.044,-0.016
83.670,10.825,9.587,76.701,69.100,cbb,2011-02-13 17:30:00,-0.014,-0.005,-0.009,-0.003,-0.036,-0.012,-0.020,-0.007
82.037,12.825,12.427,77.539,68.770,hal,2011-02-13 17:30:00,-0.001,0.001,0.007,0.004,-0.039,-0.013,-0.011,-0.003
88.596,10.825,7.215,71.218,68.300,inu,2011-02-13 17:30:00,-886537580934244089765744763630683947008.000,-18726863278504857600.000,-886537580934244089765744763630683947008.000,-18726863278504857600.000,-886537580934244089765744763630683947008.000,-18726863278504857600.000,,
77.893,12.825,13.738,71.790,63.700,iqa,2011-02-13 17:30:00,-0.169,0.182,-0.215,0.245,-0.311,-0.081,-0.145,0.103
79.465,10.825,8.963,69.166,62.500,ykc,2011-02-13 17:30:00,-0.358,0.053,-0.482,0.196,-0.052,-0.442,-0.222,-0.099
69.764,12.825,12.604,65.830,56.300,snk,2011-02-13 17:30:00,0.201,0.213,0.211,0.257,-0.052,0.016,0.164,0.154
72.375,10.825,9.275,61.757,54.600,mea,2011-02-13 17:30:00,-0.290,0.276,-0.394,0.372,-0.189,-0.078,-0.180,0.166
68.576,11.825,9.854,60.467,52.200,sas,2011-02-13 17:30:00,0.028,0.256,-0.011,0.319,-0.109,-0.001,0.052,0.179
64.861,11.825,10.536,59.240,49.920,brd,2011-02-13 17:30:00,-0.006,0.360,-0.078,0.443,-0.028,0.045,0.067,0.261
70.158,9.825,8.870,55.341,49.320,pen,2011-02-13 17:30:00,0.038,0.171,0.031,0.220,-0.167,-0.033,0.026,0.112
66.978,14.325,14.830,52.680,47.600,stj,2011-02-13 17:30:00,-0.203,-0.093,-0.238,-0.106,-0.023,-0.021,-0.153,-0.074
58.837,12.758,12.830,55.106,45.400,ott,2011-02-14 17:26:00,0.052,0.014,0.064,0.018,-0.021,-0.010,0.031,0.007
64.727,11.758,10.474,59.240,49.920,brd,2011-02-14 17:26:00,0.022,0.005,0.039,0.011,-0.080,-0.029,-0.006,-0.005
70.244,9.758,8.808,55.341,49.320,pen,2011-02-14 17:26:00,-0.391,0.483,-0.510,0.233,0.212,-0.209,-0.211,0.537
54.558,13.792,13.950,55.101,45.400,ott,2011-03-08 18:28:00,-0.312,0.631,-0.469,0.463,0.155,0.196,-0.103,0.720
74.445,11.792,11.950,78.131,69.540,talo,2011-03-08 18:28:00,0.069,0.041,0.093,0.053,-0.059,-0.014,0.035,0.026
67.877,12.792,12.254,72.062,62.820,rank,2011-03-08 18:28:00,0.151,0.086,0.182,0.103,-0.024,0.004,0.105,0.063
54.995,12.792,11.963,59.726,50.020,pina,2011-03-08 18:28:00,0.096,0.464,0.027,0.568,0.118,0.102,0.170,0.344
61.369,12.792,12.054,65.898,56.380,gill,2011-03-08 18:28:00,0.195,0.108,0.226,0.127,0.016,0.020,0.148,0.083
74.980,10.792,8.125,65.978,64.050,daws,2011-03-08 18:28:00,0.039,0.043,0.073,0.066,-0.158,-0.057,-0.007,0.016
68.735,11.792,9.486,67.226,61.760,fsim,2011-03-08 18:28:00,0.115,0.073,0.146,0.090,-0.059,-0.011,0.071,0.049
65.653,11.792,10.323,67.230,60.020,fsmi,2011-03-08 18:28:00,0.097,0.053,0.118,0.064,-0.019,0.002,0.066,0.039
58.871,12.792,12.072,63.505,53.860,isll,2011-03-08 18:28:00,0.144,0.392,0.094,0.476,0.084,0.075,0.188,0.291
62.313,11.792,10.470,64.121,56.660,mcmu,2011-03-08 18:28:00,-0.419,0.609,-0.572,0.406,0.087,0.072,-0.212,0.649
88.488,13.792,19.309,87.030,82.520,ale,2011-03-08 18:28:00,0.003,0.002,0.004,0.003,-0.004,-0.001,0.001,0.002
79.505,12.792,11.482,82.629,74.700,res,2011-03-08 18:28:00,0.006,0.005,0.013,0.008,-0.024,-0.007,-0.002,0.002
78.629,13.792,13.974,80.915,72.680,pon,2011-03-08 18:28:00,0.025,0.016,0.039,0.022,-0.042,-0.012,0.007,0.009
74.018,11.792,10.646,76.698,69.100,cbb,2011-03-08 18:28:00,-0.009,0.347,-0.092,0.487,0.042,-0.112,0.076,0.197
74.616,13.792,13.485,77.534,68.770,hal,2011-03-08 18:28:00,0.055,0.032,0.073,0.040,-0.039,-0.008,0.030,0.021
76.892,11.792,8.274,71.218,68.300,inu,2011-03-08 18:28:00,0.010,0.011,0.026,0.018,-0.070,-0.021,-0.011,0.003
72.274,13.792,14.796,71.785,63.700,iqa,2011-03-08 18:28:00,0.219,0.258,0.217,0.322,-0.040,-0.007,0.191,0.178
68.353,11.792,10.021,69.163,62.500,ykc,2011-03-08 18:28:00,0.066,0.037,0.084,0.045,-0.027,-0.003,0.041,0.026
63.360,13.792,13.662,65.825,56.300,snk,2011-03-08 18:28:00,0.257,0.159,0.292,0.187,0.027,0.029,0.202,0.121
60.633,11.792,10.334,61.755,54.600,mea,2011-03-08 18:28:00,0.154,0.292,0.131,0.355,0.025,0.037,0.164,0.215
57.495,12.792,10.913,60.464,52.200,sas,2011-03-08 18:28:00,0.080,0.406,0.019,0.496,0.074,0.073,0.141,0.299
54.833,12.792,11.594,59.236,49.920,brd,2011-03-08 18:28:00,-0.030,0.553,-0.125,0.709,0.113,0.113,0.084,0.400
57.057,10.792,9.928,55.340,49.320,pen,2011-03-08 18:28:00,0.184,0.105,0.214,0.123,0.014,0.019,0.142,0.081
66.389,15.292,15.888,52.673,47.600,stj,2011-03-08 18:28:00,-0.424,-0.228,-0.505,-0.261,-0.019,-0.051,-0.314,-0.183
60.394,15.958,15.154,55.099,45.400,ott,2011-03-14 19:38:00,0.051,0.033,0.063,0.042,-0.043,-0.015,0.031,0.019
54.477,14.958,12.798,59.236,49.920,brd,2011-03-14 19:38:00,-0.289,0.097,-0.337,0.120,-0.161,-0.022,-0.217,0.062
51.910,12.958,11.132,55.339,49.320,pen,2011-03-14 19:38:00,-0.018,0.062,-0.022,0.077,-0.067,-0.013,-0.013,0.040
41.608,12.092,11.252,55.052,45.400,ott,2011-09-08 15:46:00,-1.142,0.158,-1.364,0.042,-0.149,0.433,-0.805,0.344
67.153,10.092,9.258,78.094,69.540,talo,2011-09-08 15:46:00,-0.235,0.546,-0.325,0.755,-0.089,0.046,-0.113,0.373
61.317,11.092,9.559,72.025,62.820,rank,2011-09-08 15:46:00,-1.292,-0.758,-1.527,-0.935,-0.159,0.724,-0.941,-0.499
52.843,11.092,9.267,59.696,50.020,pina,2011-09-08 15:46:00,-0.223,0.713,-0.324,0.781,0.016,0.153,-0.081,0.497
56.985,11.092,9.358,65.864,56.380,gill,2011-09-08 15:46:00,0.203,0.297,0.207,0.353,0.039,0.072,0.193,0.230
79.254,9.092,5.431,65.979,64.050,daws,2011-09-08 15:46:00,-0.435,-0.038,-0.489,0.036,-0.352,-0.328,-0.368,-0.121
70.888,10.092,6.793,67.214,61.760,fsim,2011-09-08 15:46:00,-0.590,0.877,-0.725,0.521,-0.153,-0.084,-0.398,0.433
66.128,10.092,7.629,67.210,60.020,fsmi,2011-09-08 15:46:00,0.024,0.286,0.008,0.356,-0.095,0.017,0.040,0.206
