sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
81.749,18.658,18.086,55.053,45.400,ott,2011-09-06 22:20:00,-0.355,0.436,-0.511,0.576,-0.046,0.038,-3.631,-0.371
76.070,16.658,16.092,78.094,69.540,talo,2011-09-06 22:20:00,-0.100,0.423,-0.207,0.524,0.079,0.097,-2.721,-0.183
74.517,17.658,16.393,72.025,62.820,rank,2011-09-06 22:20:00,0.095,0.388,0.019,0.470,0.128,0.106,-2.118,-0.072
68.791,17.658,16.101,59.696,50.020,pina,2011-09-06 22:20:00,0.267,0.403,0.212,0.476,0.220,0.140,-1.618,-0.006
71.420,17.658,16.192,65.865,56.380,gill,2011-09-06 22:20:00,0.067,0.488,-0.031,0.598,0.192,0.149,-2.394,-0.180
59.770,15.658,12.265,65.979,64.050,daws,2011-09-06 22:20:00,0.152,0.470,0.075,0.559,0.250,0.173,-1.965,-0.074
62.523,16.658,13.626,67.214,61.760,fsim,2011-09-06 22:20:00,-0.164,0.729,-0.300,0.803,0.231,0.225,-3.091,-0.342
64.853,16.658,14.463,67.210,60.020,fsmi,2011-09-06 22:20:00,0.313,0.360,0.281,0.420,0.221,0.133,-1.282,0.100
67.582,16.658,15.271,66.721,58.220,rabb,2011-09-06 22:20:00,-0.064,0.626,-0.190,0.827,0.225,0.193,-2.857,-0.298
70.681,17.658,16.210,63.473,53.860,isll,2011-09-06 22:20:00,-0.917,-0.524,-1.059,-0.581,-0.240,-0.228,-3.320,-1.289
63.308,16.658,14.610,64.102,56.660,mcmu,2011-09-06 22:20:00,-0.708,0.478,-0.916,0.347,0.118,0.329,-4.670,-0.686
84.641,18.658,23.391,87.024,82.520,ale,2011-09-06 22:20:00,0.007,0.003,0.014,0.006,-0.020,-0.006,0.101,0.038
77.529,17.658,15.629,82.596,74.700,res,2011-09-06 22:20:00,-0.099,-0.043,-0.119,-0.050,-0.006,-0.009,-0.439,-0.155
81.612,18.658,18.109,80.872,72.680,pon,2011-09-06 22:20:00,0.078,0.037,0.100,0.047,-0.025,-0.002,0.336,0.196
72.260,16.658,14.789,76.672,69.100,cbb,2011-09-06 22:20:00,-0.014,0.474,-0.117,0.585,0.154,0.134,-2.567,-0.193
80.091,18.658,17.621,77.491,68.770,hal,2011-09-06 22:20:00,-0.901,-0.107,-1.120,-0.293,-0.001,0.133,-4.663,-1.891
64.558,16.658,12.416,71.217,68.300,inu,2011-09-06 22:20:00,-0.312,0.909,-0.468,0.658,0.193,0.232,-3.539,-0.438
65.348,16.658,14.162,69.146,62.500,ykc,2011-09-06 22:20:00,0.029,0.554,-0.077,0.686,0.235,0.183,-2.498,-0.212
61.197,16.658,14.472,61.738,54.600,mea,2011-09-06 22:20:00,-1.806,-0.188,-2.110,-0.302,-0.367,0.738,-7.257,-1.485
63.149,16.658,15.051,60.444,52.200,sas,2011-09-06 22:20:00,0.207,0.465,0.135,0.551,0.259,0.170,-1.854,-0.068
66.377,17.658,15.732,59.211,49.920,brd,2011-09-06 22:20:00,0.258,0.123,0.289,0.140,0.096,0.050,0.470,0.460
54.969,15.658,14.066,55.330,49.320,pen,2011-09-06 22:20:00,-1.304,0.193,-1.563,0.086,-0.113,0.523,-6.096,-0.939
96.959,20.158,20.021,52.617,47.600,stj,2011-09-06 22:20:00,-14567929724490689219363416026212433133568.000,-65634025861662597120.000,-14567929724490689219363416026212433133568.000,-65634025861662597120.000,-14567929724490689219363416026212433133568.000,-65634025861662597120.000,,
85.136,18.958,18.382,55.052,45.400,ott,2011-09-07 22:38:00,-0.549,0.443,-0.706,0.676,-0.270,-0.104,-4.012,-0.724
77.940,16.958,16.388,78.094,69.540,talo,2011-09-07 22:38:00,0.173,0.326,0.149,0.396,0.050,0.068,-1.375,-0.012
76.865,17.958,16.689,72.025,62.820,rank,2011-09-07 22:38:00,0.184,0.399,0.143,0.487,0.094,0.096,-1.610,-0.127
71.926,17.958,16.398,59.696,50.020,pina,2011-09-07 22:38:00,0.369,0.359,0.369,0.422,0.167,0.117,-0.870,0.054
74.173,17.958,16.489,65.864,56.380,gill,2011-09-07 22:38:00,0.332,0.247,0.360,0.288,0.101,0.077,-0.300,0.330
61.049,15.958,12.562,65.979,64.050,daws,2011-09-07 22:38:00,0.349,0.431,0.326,0.506,0.239,0.159,-1.114,-0.015
64.462,16.958,13.923,67.214,61.760,fsim,2011-09-07 22:38:00,0.283,0.523,0.231,0.634,0.251,0.178,-1.567,-0.166
