Photon|Coherent|Incoher|Photoel|Nuclear|electron|TotC|TotI|
1.000e-03|1.372e+00|1.319e-02|4.076e+03|0.000e+00|0.000e+00|4.077e+03|4.076e+03|
1.500e-03|1.269e+00|2.673e-02|1.374e+03|0.000e+00|0.000e+00|1.376e+03|1.374e+03|
2.000e-03|1.150e+00|4.184e-02|6.162e+02|0.000e+00|0.000e+00|6.173e+02|6.162e+02|
3.000e-03|9.087e-01|7.075e-02|1.919e+02|0.000e+00|0.000e+00|1.928e+02|1.919e+02|
4.000e-03|7.082e-01|9.430e-02|8.197e+01|0.000e+00|0.000e+00|8.277e+01|8.207e+01|
5.000e-03|5.579e-01|1.123e-01|4.192e+01|0.000e+00|0.000e+00|4.259e+01|4.203e+01|
6.000e-03|4.489e-01|1.259e-01|2.407e+01|0.000e+00|0.000e+00|2.464e+01|2.419e+01|
8.000e-03|3.102e-01|1.440e-01|9.919e+00|0.000e+00|0.000e+00|1.037e+01|1.006e+01|
1.000e-02|2.305e-01|1.550e-01|4.944e+00|0.000e+00|0.000e+00|5.330e+00|5.099e+00|
1.500e-02|1.333e-01|1.699e-01|1.369e+00|0.000e+00|0.000e+00|1.672e+00|1.539e+00|
2.000e-02|8.856e-02|1.774e-01|5.439e-01|0.000e+00|0.000e+00|8.098e-01|7.213e-01|
3.000e-02|4.694e-02|1.829e-01|1.458e-01|0.000e+00|0.000e+00|3.756e-01|3.286e-01|
4.000e-02|2.874e-02|1.827e-01|5.680e-02|0.000e+00|0.000e+00|2.683e-01|2.395e-01|
5.000e-02|1.936e-02|1.803e-01|2.725e-02|0.000e+00|0.000e+00|2.269e-01|2.076e-01|
6.000e-02|1.392e-02|1.770e-01|1.493e-02|0.000e+00|0.000e+00|2.059e-01|1.920e-01|
8.000e-02|8.165e-03|1.697e-01|5.770e-03|0.000e+00|0.000e+00|1.837e-01|1.755e-01|
1.000e-01|5.349e-03|1.626e-01|2.763e-03|0.000e+00|0.000e+00|1.707e-01|1.654e-01|
1.500e-01|2.442e-03|1.474e-01|7.308e-04|0.000e+00|0.000e+00|1.505e-01|1.481e-01|
2.000e-01|1.388e-03|1.353e-01|2.887e-04|0.000e+00|0.000e+00|1.370e-01|1.356e-01|
3.000e-01|6.215e-04|1.179e-01|8.160e-05|0.000e+00|0.000e+00|1.186e-01|1.180e-01|
4.000e-01|3.506e-04|1.058e-01|3.493e-05|0.000e+00|0.000e+00|1.061e-01|1.058e-01|
5.000e-01|2.247e-04|9.663e-02|1.883e-05|0.000e+00|0.000e+00|9.687e-02|9.665e-02|
6.000e-01|1.561e-04|8.939e-02|1.173e-05|0.000e+00|0.000e+00|8.956e-02|8.940e-02|
8.000e-01|8.790e-05|7.856e-02|5.920e-06|0.000e+00|0.000e+00|7.866e-02|7.857e-02|
1.000e+00|5.627e-05|7.066e-02|3.681e-06|0.000e+00|0.000e+00|7.072e-02|7.066e-02|
1.022e+00|5.388e-05|6.991e-02|3.430e-06|0.000e+00|0.000e+00|6.997e-02|6.991e-02|
1.250e+00|3.603e-05|6.318e-02|2.329e-06|1.777e-05|0.000e+00|6.323e-02|6.320e-02|
1.500e+00|2.501e-05|5.742e-02|1.690e-06|9.820e-05|0.000e+00|5.754e-02|5.752e-02|
2.000e+00|1.407e-05|4.901e-02|1.063e-06|3.908e-04|0.000e+00|4.942e-02|4.940e-02|
2.044e+00|1.347e-05|4.839e-02|1.028e-06|4.212e-04|0.000e+00|4.883e-02|4.881e-02|
3.000e+00|6.255e-06|3.855e-02|5.937e-07|1.117e-03|1.349e-05|3.969e-02|3.968e-02|
4.000e+00|3.519e-06|3.216e-02|4.075e-07|1.812e-03|5.507e-05|3.403e-02|3.402e-02|
5.000e+00|2.252e-06|2.777e-02|3.090e-07|2.431e-03|1.097e-04|3.031e-02|3.031e-02|
6.000e+00|1.564e-06|2.454e-02|2.484e-07|2.987e-03|1.685e-04|2.770e-02|2.770e-02|
7.000e+00|1.149e-06|2.206e-02|2.075e-07|3.482e-03|2.272e-04|2.577e-02|2.577e-02|
8.000e+00|8.796e-07|2.008e-02|1.780e-07|3.927e-03|2.843e-04|2.429e-02|2.429e-02|
9.000e+00|6.951e-07|1.846e-02|1.559e-07|4.334e-03|3.389e-04|2.313e-02|2.313e-02|
1.000e+01|5.630e-07|1.710e-02|1.386e-07|4.699e-03|3.910e-04|2.219e-02|2.219e-02|
1.100e+01|4.652e-07|1.595e-02|1.248e-07|5.034e-03|4.404e-04|2.142e-02|2.142e-02|
1.200e+01|3.909e-07|1.496e-02|1.134e-07|5.341e-03|4.872e-04|2.079e-02|2.079e-02|
1.300e+01|3.331e-07|1.409e-02|1.039e-07|5.627e-03|5.315e-04|2.025e-02|2.025e-02|
1.400e+01|2.872e-07|1.333e-02|9.591e-08|5.893e-03|5.737e-04|1.980e-02|1.980e-02|
1.500e+01|2.502e-07|1.266e-02|8.906e-08|6.141e-03|6.135e-04|1.941e-02|1.941e-02|
1.600e+01|2.199e-07|1.205e-02|8.311e-08|6.376e-03|6.519e-04|1.908e-02|1.908e-02|
1.800e+01|1.737e-07|1.102e-02|7.331e-08|6.803e-03|7.230e-04|1.854e-02|1.854e-02|
2.000e+01|1.407e-07|1.016e-02|6.555e-08|7.186e-03|7.878e-04|1.813e-02|1.813e-02|
2.200e+01|1.163e-07|9.435e-03|5.930e-08|7.535e-03|8.480e-04|1.782e-02|1.782e-02|
2.400e+01|9.775e-08|8.817e-03|5.412e-08|7.853e-03|9.033e-04|1.757e-02|1.757e-02|
2.600e+01|8.329e-08|8.278e-03|4.978e-08|8.143e-03|9.548e-04|1.738e-02|1.738e-02|
2.800e+01|7.180e-08|7.809e-03|4.607e-08|8.412e-03|1.003e-03|1.722e-02|1.722e-02|
3.000e+01|6.255e-08|7.396e-03|4.289e-08|8.661e-03|1.048e-03|1.710e-02|1.710e-02|
4.000e+01|3.519e-08|5.875e-03|3.186e-08|9.674e-03|1.237e-03|1.679e-02|1.679e-02|
5.000e+01|2.252e-08|4.906e-03|2.534e-08|1.045e-02|1.385e-03|1.674e-02|1.674e-02|
6.000e+01|1.564e-08|4.225e-03|2.104e-08|1.106e-02|1.505e-03|1.679e-02|1.679e-02|
8.000e+01|8.796e-09|3.333e-03|1.571e-08|1.199e-02|1.693e-03|1.702e-02|1.702e-02|
1.000e+02|5.630e-09|2.767e-03|1.253e-08|1.267e-02|1.834e-03|1.727e-02|1.727e-02|
1.500e+02|2.502e-09|1.970e-03|8.317e-09|1.380e-02|2.081e-03|1.785e-02|1.785e-02|
2.000e+02|1.407e-09|1.545e-03|6.228e-09|1.450e-02|2.243e-03|1.829e-02|1.829e-02|
3.000e+02|6.255e-10|1.095e-03|4.142e-09|1.534e-02|2.453e-03|1.888e-02|1.888e-02|
4.000e+02|3.519e-10|8.574e-04|3.105e-09|1.583e-02|2.584e-03|1.927e-02|1.927e-02|
5.000e+02|2.251e-10|7.099e-04|2.482e-09|1.615e-02|2.675e-03|1.954e-02|1.954e-02|
6.000e+02|1.564e-10|6.079e-04|2.068e-09|1.639e-02|2.742e-03|1.974e-02|1.974e-02|
8.000e+02|8.796e-11|4.747e-04|1.550e-09|1.670e-02|2.838e-03|2.002e-02|2.002e-02|
1.000e+03|5.630e-11|3.905e-04|1.240e-09|1.691e-02|2.902e-03|2.020e-02|2.020e-02|
1.500e+03|2.502e-11|2.727e-04|8.260e-10|1.721e-02|2.999e-03|2.048e-02|2.048e-02|
2.000e+03|1.407e-11|2.111e-04|6.194e-10|1.738e-02|3.054e-03|2.064e-02|2.064e-02|
3.000e+03|6.255e-12|1.467e-04|4.129e-10|1.755e-02|3.114e-03|2.082e-02|2.082e-02|
4.000e+03|3.519e-12|1.133e-04|3.096e-10|1.765e-02|3.150e-03|2.091e-02|2.091e-02|
5.000e+03|2.251e-12|9.264e-05|2.477e-10|1.771e-02|3.172e-03|2.097e-02|2.097e-02|
6.000e+03|1.564e-12|7.856e-05|2.064e-10|1.776e-02|3.188e-03|2.102e-02|2.102e-02|
8.000e+03|8.796e-13|6.050e-05|1.548e-10|1.781e-02|3.208e-03|2.108e-02|2.108e-02|
1.000e+04|5.630e-13|4.939e-05|1.238e-10|1.784e-02|3.222e-03|2.111e-02|2.111e-02|
1.500e+04|2.502e-13|3.414e-05|8.254e-11|1.789e-02|3.240e-03|2.117e-02|2.117e-02|
2.000e+04|1.407e-13|2.625e-05|6.191e-11|1.792e-02|3.250e-03|2.120e-02|2.120e-02|
3.000e+04|6.255e-14|1.811e-05|4.129e-11|1.795e-02|3.260e-03|2.123e-02|2.123e-02|
4.000e+04|3.519e-14|1.390e-05|3.096e-11|1.796e-02|3.267e-03|2.124e-02|2.124e-02|
5.000e+04|2.251e-14|1.132e-05|2.476e-11|1.797e-02|3.270e-03|2.125e-02|2.125e-02|
6.000e+04|1.564e-14|9.568e-06|2.064e-11|1.798e-02|3.273e-03|2.126e-02|2.126e-02|
8.000e+04|8.796e-15|7.337e-06|1.548e-11|1.798e-02|3.275e-03|2.127e-02|2.127e-02|
1.000e+05|5.630e-15|5.967e-06|1.238e-11|1.799e-02|3.278e-03|2.127e-02|2.127e-02|

