Photon|Coherent|Incoher|Photoel|Nuclear|electron|TotC|TotI|
1.000e-03|1.403e+00|9.678e-03|3.992e+03|0.000e+00|0.000e+00|3.993e+03|3.992e+03|
1.500e-03|1.291e+00|1.986e-02|1.330e+03|0.000e+00|0.000e+00|1.331e+03|1.330e+03|
2.000e-03|1.162e+00|3.156e-02|5.921e+02|0.000e+00|0.000e+00|5.932e+02|5.921e+02|
3.000e-03|9.080e-01|5.507e-02|1.828e+02|0.000e+00|0.000e+00|1.837e+02|1.828e+02|
4.000e-03|7.028e-01|7.530e-02|7.767e+01|0.000e+00|0.000e+00|7.845e+01|7.774e+01|
5.000e-03|5.523e-01|9.128e-02|3.958e+01|0.000e+00|0.000e+00|4.022e+01|3.967e+01|
6.000e-03|4.447e-01|1.035e-01|2.266e+01|0.000e+00|0.000e+00|2.321e+01|2.276e+01|
8.000e-03|3.091e-01|1.204e-01|9.300e+00|0.000e+00|0.000e+00|9.730e+00|9.421e+00|
1.000e-02|2.315e-01|1.311e-01|4.622e+00|0.000e+00|0.000e+00|4.985e+00|4.753e+00|
1.500e-02|1.355e-01|1.468e-01|1.274e+00|0.000e+00|0.000e+00|1.556e+00|1.420e+00|
2.000e-02|9.025e-02|1.553e-01|5.043e-01|0.000e+00|0.000e+00|7.498e-01|6.595e-01|
3.000e-02|4.772e-02|1.623e-01|1.346e-01|0.000e+00|0.000e+00|3.446e-01|2.969e-01|
4.000e-02|2.920e-02|1.631e-01|5.234e-02|0.000e+00|0.000e+00|2.446e-01|2.154e-01|
5.000e-02|1.966e-02|1.614e-01|2.507e-02|0.000e+00|0.000e+00|2.061e-01|1.864e-01|
6.000e-02|1.413e-02|1.587e-01|1.372e-02|0.000e+00|0.000e+00|1.865e-01|1.724e-01|
8.000e-02|8.279e-03|1.524e-01|5.293e-03|0.000e+00|0.000e+00|1.660e-01|1.577e-01|
1.000e-01|5.419e-03|1.462e-01|2.531e-03|0.000e+00|0.000e+00|1.541e-01|1.487e-01|
1.500e-01|2.471e-03|1.326e-01|6.683e-04|0.000e+00|0.000e+00|1.357e-01|1.332e-01|
2.000e-01|1.403e-03|1.218e-01|2.640e-04|0.000e+00|0.000e+00|1.235e-01|1.221e-01|
3.000e-01|6.282e-04|1.062e-01|7.448e-05|0.000e+00|0.000e+00|1.069e-01|1.063e-01|
4.000e-01|3.542e-04|9.523e-02|3.187e-05|0.000e+00|0.000e+00|9.562e-02|9.526e-02|
5.000e-01|2.270e-04|8.700e-02|1.717e-05|0.000e+00|0.000e+00|8.725e-02|8.702e-02|
6.000e-01|1.577e-04|8.050e-02|1.069e-05|0.000e+00|0.000e+00|8.067e-02|8.051e-02|
8.000e-01|8.879e-05|7.075e-02|5.396e-06|0.000e+00|0.000e+00|7.084e-02|7.075e-02|
1.000e+00|5.684e-05|6.362e-02|3.354e-06|0.000e+00|0.000e+00|6.368e-02|6.362e-02|
1.022e+00|5.443e-05|6.296e-02|3.121e-06|0.000e+00|0.000e+00|6.302e-02|6.296e-02|
1.250e+00|3.639e-05|5.690e-02|2.119e-06|1.824e-05|0.000e+00|5.695e-02|5.692e-02|
1.500e+00|2.527e-05|5.170e-02|1.538e-06|1.009e-04|0.000e+00|5.183e-02|5.180e-02|
2.000e+00|1.422e-05|4.413e-02|9.678e-07|4.015e-04|0.000e+00|4.455e-02|4.454e-02|
2.044e+00|1.361e-05|4.357e-02|9.363e-07|4.328e-04|0.000e+00|4.402e-02|4.400e-02|
3.000e+00|6.318e-06|3.472e-02|5.411e-07|1.148e-03|1.215e-05|3.589e-02|3.588e-02|
4.000e+00|3.555e-06|2.896e-02|3.715e-07|1.862e-03|4.959e-05|3.088e-02|3.087e-02|
5.000e+00|2.275e-06|2.501e-02|2.818e-07|2.498e-03|9.882e-05|2.761e-02|2.761e-02|
6.000e+00|1.580e-06|2.210e-02|2.266e-07|3.071e-03|1.518e-04|2.533e-02|2.533e-02|
7.000e+00|1.161e-06|1.987e-02|1.893e-07|3.580e-03|2.047e-04|2.365e-02|2.365e-02|
8.000e+00|8.887e-07|1.808e-02|1.625e-07|4.038e-03|2.560e-04|2.238e-02|2.238e-02|
9.000e+00|7.022e-07|1.662e-02|1.423e-07|4.456e-03|3.052e-04|2.138e-02|2.138e-02|
1.000e+01|5.688e-07|1.540e-02|1.265e-07|4.833e-03|3.521e-04|2.059e-02|2.059e-02|
1.100e+01|4.700e-07|1.436e-02|1.139e-07|5.178e-03|3.966e-04|1.994e-02|1.994e-02|
1.200e+01|3.949e-07|1.347e-02|1.035e-07|5.493e-03|4.387e-04|1.940e-02|1.940e-02|
1.300e+01|3.365e-07|1.269e-02|9.489e-08|5.788e-03|4.787e-04|1.896e-02|1.896e-02|
1.400e+01|2.901e-07|1.201e-02|8.756e-08|6.061e-03|5.166e-04|1.858e-02|1.858e-02|
1.500e+01|2.528e-07|1.140e-02|8.130e-08|6.318e-03|5.525e-04|1.827e-02|1.827e-02|
1.600e+01|2.222e-07|1.086e-02|7.588e-08|6.559e-03|5.870e-04|1.800e-02|1.800e-02|
1.800e+01|1.755e-07|9.920e-03|6.693e-08|6.998e-03|6.511e-04|1.757e-02|1.757e-02|
2.000e+01|1.422e-07|9.148e-03|5.987e-08|7.392e-03|7.095e-04|1.725e-02|1.725e-02|
2.200e+01|1.175e-07|8.498e-03|5.415e-08|7.751e-03|7.637e-04|1.701e-02|1.701e-02|
2.400e+01|9.874e-08|7.940e-03|4.942e-08|8.076e-03|8.134e-04|1.683e-02|1.683e-02|
2.600e+01|8.413e-08|7.456e-03|4.546e-08|8.375e-03|8.598e-04|1.669e-02|1.669e-02|
2.800e+01|7.253e-08|7.034e-03|4.207e-08|8.650e-03|9.031e-04|1.659e-02|1.659e-02|
3.000e+01|6.320e-08|6.661e-03|3.917e-08|8.905e-03|9.435e-04|1.651e-02|1.651e-02|
4.000e+01|3.555e-08|5.292e-03|2.910e-08|9.949e-03|1.114e-03|1.635e-02|1.635e-02|
5.000e+01|2.275e-08|4.417e-03|2.315e-08|1.074e-02|1.246e-03|1.641e-02|1.641e-02|
6.000e+01|1.580e-08|3.805e-03|1.922e-08|1.137e-02|1.353e-03|1.653e-02|1.653e-02|
8.000e+01|8.885e-09|3.002e-03|1.435e-08|1.232e-02|1.520e-03|1.684e-02|1.684e-02|
1.000e+02|5.688e-09|2.492e-03|1.144e-08|1.302e-02|1.646e-03|1.716e-02|1.716e-02|
1.500e+02|2.527e-09|1.774e-03|7.598e-09|1.418e-02|1.863e-03|1.781e-02|1.781e-02|
2.000e+02|1.421e-09|1.391e-03|5.689e-09|1.490e-02|2.005e-03|1.829e-02|1.829e-02|
3.000e+02|6.318e-10|9.860e-04|3.784e-09|1.576e-02|2.186e-03|1.893e-02|1.893e-02|
4.000e+02|3.555e-10|7.723e-04|2.836e-09|1.626e-02|2.298e-03|1.933e-02|1.933e-02|
5.000e+02|2.274e-10|6.392e-04|2.267e-09|1.660e-02|2.376e-03|1.962e-02|1.962e-02|
6.000e+02|1.579e-10|5.475e-04|1.889e-09|1.684e-02|2.434e-03|1.982e-02|1.982e-02|
8.000e+02|8.885e-11|4.275e-04|1.416e-09|1.717e-02|2.515e-03|2.011e-02|2.011e-02|
1.000e+03|5.688e-11|3.517e-04|1.132e-09|1.738e-02|2.569e-03|2.030e-02|2.030e-02|
1.500e+03|2.527e-11|2.456e-04|7.546e-10|1.769e-02|2.650e-03|2.059e-02|2.059e-02|
2.000e+03|1.421e-11|1.901e-04|5.659e-10|1.787e-02|2.696e-03|2.075e-02|2.075e-02|
3.000e+03|6.318e-12|1.322e-04|3.772e-10|1.805e-02|2.746e-03|2.093e-02|2.093e-02|
4.000e+03|3.555e-12|1.020e-04|2.828e-10|1.815e-02|2.776e-03|2.103e-02|2.103e-02|
5.000e+03|2.274e-12|8.343e-05|2.263e-10|1.821e-02|2.794e-03|2.109e-02|2.109e-02|
6.000e+03|1.579e-12|7.075e-05|1.886e-10|1.826e-02|2.807e-03|2.114e-02|2.114e-02|
8.000e+03|8.885e-13|5.449e-05|1.414e-10|1.832e-02|2.824e-03|2.119e-02|2.119e-02|
1.000e+04|5.688e-13|4.449e-05|1.131e-10|1.835e-02|2.835e-03|2.123e-02|2.123e-02|
1.500e+04|2.527e-13|3.075e-05|7.540e-11|1.840e-02|2.850e-03|2.128e-02|2.128e-02|
2.000e+04|1.421e-13|2.364e-05|5.656e-11|1.843e-02|2.858e-03|2.131e-02|2.131e-02|
3.000e+04|6.318e-14|1.630e-05|3.771e-11|1.846e-02|2.867e-03|2.134e-02|2.134e-02|
