A_AVG,B_AVG,date
1e-09,5.68468e-07,2015-03-01 00:00:00
1.04152e-09,5.65553e-07,2015-03-01 00:01:00
1.10071e-09,5.6691e-07,2015-03-01 00:02:00
1e-09,5.65058e-07,2015-03-01 00:03:00
1e-09,5.64829e-07,2015-03-01 00:04:00
1e-09,5.61663e-07,2015-03-01 00:05:00
1e-09,5.62872e-07,2015-03-01 00:06:00
1e-09,5.71975e-07,2015-03-01 00:07:00
1e-09,5.76588e-07,2015-03-01 00:08:00
1.41742e-09,5.8283e-07,2015-03-01 00:09:00
2.73274e-09,5.96712e-07,2015-03-01 00:10:00
3.21608e-09,6.11686e-07,2015-03-01 00:11:00
3.52352e-09,6.49497e-07,2015-03-01 00:12:00
4.61108e-09,6.70425e-07,2015-03-01 00:13:00
3.73334e-09,6.73377e-07,2015-03-01 00:14:00
1.84102e-09,6.57819e-07,2015-03-01 00:15:00
1.36132e-09,6.47507e-07,2015-03-01 00:16:00
1e-09,6.41132e-07,2015-03-01 00:17:00
1e-09,6.37556e-07,2015-03-01 00:18:00
1.02076e-09,6.23536e-07,2015-03-01 00:19:00
1.04014e-09,6.15162e-07,2015-03-01 00:20:00
1.02076e-09,6.10781e-07,2015-03-01 00:21:00
1e-09,6.07163e-07,2015-03-01 00:22:00
1e-09,6.00734e-07,2015-03-01 00:23:00
1e-09,6.00921e-07,2015-03-01 00:24:00
1e-09,6.07434e-07,2015-03-01 00:25:00
1e-09,6.17475e-07,2015-03-01 00:26:00
1e-09,6.26617e-07,2015-03-01 00:27:00
1.12456e-09,6.4018e-07,2015-03-01 00:28:00
1.77034e-09,6.53205e-07,2015-03-01 00:29:00
1.80701e-09,6.60107e-07,2015-03-01 00:30:00
1.04152e-09,6.64603e-07,2015-03-01 00:31:00
1.04152e-09,6.57457e-07,2015-03-01 00:32:00
1.15756e-09,6.47078e-07,2015-03-01 00:33:00
1.10071e-09,6.41536e-07,2015-03-01 00:34:00
1e-09,6.3638e-07,2015-03-01 00:35:00
1.55656e-09,6.41084e-07,2015-03-01 00:36:00
3.71354e-09,6.43144e-07,2015-03-01 00:37:00
1.68952e-09,6.37647e-07,2015-03-01 00:38:00
1.42978e-09,6.4027e-07,2015-03-01 00:39:00
2.86509e-09,6.39821e-07,2015-03-01 00:40:00
1.43509e-09,6.34209e-07,2015-03-01 00:41:00
1e-09,6.27063e-07,2015-03-01 00:42:00
1e-09,6.18922e-07,2015-03-01 00:43:00
1e-09,6.13495e-07,2015-03-01 00:44:00
1e-09,6.13857e-07,2015-03-01 00:45:00
1e-09,6.10238e-07,2015-03-01 00:46:00
1.02007e-09,6.06506e-07,2015-03-01 00:47:00
1e-09,6.05354e-07,2015-03-01 00:48:00
1e-09,5.98298e-07,2015-03-01 00:49:00
1e-09,5.94089e-07,2015-03-01 00:50:00
1e-09,5.90338e-07,2015-03-01 00:51:00
1e-09,5.84458e-07,2015-03-01 00:52:00
1e-09,5.90247e-07,2015-03-01 00:53:00
1e-09,5.98286e-07,2015-03-01 00:54:00
1e-09,6.00379e-07,2015-03-01 00:55:00
1e-09,5.98117e-07,2015-03-01 00:56:00
1e-09,5.97674e-07,2015-03-01 00:57:00
1e-09,5.92961e-07,2015-03-01 00:58:00
1e-09,5.90247e-07,2015-03-01 00:59:00
1e-09,5.87356e-07,2015-03-01 01:00:00
1e-09,5.83373e-07,2015-03-01 01:01:00
1.04152e-09,5.81925e-07,2015-03-01 01:02:00
1.1038e-09,5.84549e-07,2015-03-01 01:03:00
1e-09,5.85345e-07,2015-03-01 01:04:00
1e-09,5.8871e-07,2015-03-01 01:05:00
1e-09,5.8672e-07,2015-03-01 01:06:00
1e-09,5.83334e-07,2015-03-01 01:07:00
1e-09,5.80207e-07,2015-03-01 01:08:00
1e-09,5.77041e-07,2015-03-01 01:09:00
1e-09,5.74152e-07,2015-03-01 01:10:00
1e-09,5.70709e-07,2015-03-01 01:11:00
1.06228e-09,5.72066e-07,2015-03-01 01:12:00
1e-09,5.70528e-07,2015-03-01 01:13:00
1e-09,5.66457e-07,2015-03-01 01:14:00
1e-09,5.70437e-07,2015-03-01 01:15:00
1e-09,5.65553e-07,2015-03-01 01:16:00
1e-09,5.60336e-07,2015-03-01 01:17:00
1e-09,5.56326e-07,2015-03-01 01:18:00
1e-09,5.52979e-07,2015-03-01 01:19:00
1.0602e-09,5.50455e-07,2015-03-01 01:20:00
1e-09,5.48818e-07,2015-03-01 01:21:00
1e-09,5.48004e-07,2015-03-01 01:22:00
1e-09,5.51894e-07,2015-03-01 01:23:00
1e-09,5.52554e-07,2015-03-01 01:24:00
1e-09,5.53793e-07,2015-03-01 01:25:00
1e-09,5.53522e-07,2015-03-01 01:26:00
1e-09,5.52292e-07,2015-03-01 01:27:00
1e-09,5.53251e-07,2015-03-01 01:28:00
1e-09,5.63201e-07,2015-03-01 01:29:00
1e-09,5.73875e-07,2015-03-01 01:30:00
1e-09,5.80361e-07,2015-03-01 01:31:00
1.07995e-09,5.85905e-07,2015-03-01 01:32:00
1e-09,5.89162e-07,2015-03-01 01:33:00
1e-09,5.91553e-07,2015-03-01 01:34:00
1.05919e-09,5.89886e-07,2015-03-01 01:35:00
1.06228e-09,5.89795e-07,2015-03-01 01:36:00
1.11742e-09,6.12539e-07,2015-03-01 01:37:00
1e-09,6.11324e-07,2015-03-01 01:38:00
1e-09,6.08882e-07,2015-03-01 01:39:00
1e-09,6.06711e-07,2015-03-01 01:40:00
1.57814e-09,6.18048e-07,2015-03-01 01:41:00
1.4713e-09,6.39185e-07,2015-03-01 01:42:00
1.61044e-09,6.45878e-07,2015-03-01 01:43:00
2.77073e-09,6.53811e-07,2015-03-01 01:44:00
1.92936e-09,6.47868e-07,2015-03-01 01:45:00
1.29595e-09,6.46331e-07,2015-03-01 01:46:00
1.21179e-09,6.43318e-07,2015-03-01 01:47:00
1e-09,6.46512e-07,2015-03-01 01:48:00
1e-09,6.50401e-07,2015-03-01 01:49:00
1.4797e-09,6.57366e-07,2015-03-01 01:50:00
1.49572e-09,6.62905e-07,2015-03-01 01:51:00
1.10071e-09,6.6198e-07,2015-03-01 01:52:00
