dt,db,model
11.559006211180124,1.4056224899598249,Y
11.670807453416149,1.4056224899598249,Y
11.81055900621118,1.4056224899598249,Y
11.913043478260871,1.4056224899598249,Y
11.940993788819876,3.815261044176694,Y
11.950310559006212,6.02409638554218,Y
12.024844720496896,7.831325301204814,Y
12.118012422360248,7.02811244979921,Y
12.211180124223603,6.02409638554218,Y
12.332298136645964,6.02409638554218,Y
12.453416149068325,6.224899598393563,Y
12.58385093167702,7.630522088353402,Y
12.72360248447205,7.630522088353402,Y
12.928571428571429,8.03212851405624,Y
13.152173913043478,8.433734939759034,Y
13.347826086956523,8.835341365461844,Y
13.524844720496896,8.835341365461844,Y
13.711180124223603,8.835341365461844,Y
13.869565217391305,8.634538152610432,Y
14.018633540372672,8.634538152610432,Y
14.195652173913045,9.03614457831327,Y
14.34472049689441,8.433734939759034,Y
14.493788819875776,8.232931726907623,Y
14.652173913043478,8.835341365461844,Y
14.754658385093169,9.236947791164653,Y
14.866459627329194,8.634538152610432,Y
14.987577639751553,9.03614457831327,Y
15.145962732919255,8.835341365461844,Y
15.304347826086957,7.831325301204814,Y
15.472049689440995,7.02811244979921,Y
15.649068322981368,6.827309236947784,Y
15.80745341614907,6.6265060240964,Y
15.900621118012424,6.6265060240964,Y
15.9472049689441,8.433734939759034,Y
16.096273291925467,7.831325301204814,Y
16.226708074534162,7.02811244979921,Y
16.41304347826087,6.827309236947784,Y
16.59937888198758,6.4257028112449746,Y
16.729813664596275,6.6265060240964,Y
16.841614906832298,5.02008032128515,Y
11.717391304347826,6.827309236947784,Y
11.801242236024846,7.228915662650593,Y
11.885093167701864,7.228915662650593,Y
11.913043478260871,10.441767068273094,Y
11.931677018633541,12.248995983935743,Y
11.931677018633541,16.46586345381526,Y
11.978260869565219,54.819277108433724,Y
12.006211180124225,97.99196787148594,Y
12.01552795031056,99.59839357429718,Y
12.0527950310559,99.79919678714859,Y
12.062111801242237,95.78313253012047,Y
12.062111801242237,84.33734939759036,Y
12.090062111801243,74.8995983935743,Y
12.127329192546584,67.46987951807228,Y
12.155279503105591,61.847389558232926,Y
12.192546583850932,54.41767068273092,Y
12.201863354037268,49.99999999999999,Y
12.248447204968945,44.17670682730923,Y
12.295031055900623,38.75502008032127,Y
12.341614906832298,34.73895582329317,Y
12.397515527950311,33.73493975903614,Y
12.48136645962733,35.34136546184739,Y
12.555900621118013,37.14859437751004,Y
12.611801242236027,39.7590361445783,Y
12.714285714285715,42.57028112449798,Y
12.835403726708076,44.97991967871485,Y
12.928571428571429,45.18072289156627,Y
13.077639751552796,44.377510040160644,Y
13.198757763975156,43.1726907630522,Y
13.375776397515528,43.1726907630522,Y
13.571428571428573,42.16867469879517,Y
13.729813664596275,40.562248995983936,Y
13.87888198757764,37.95180722891567,Y
14.009316770186336,35.7429718875502,Y
14.177018633540374,33.73493975903614,Y
14.30745341614907,32.53012048192771,Y
14.437888198757765,31.52610441767068,Y
14.596273291925467,32.3293172690763,Y
14.680124223602485,33.13253012048193,Y
14.540372670807454,30.92369477911646,Y
14.708074534161492,34.73895582329317,Y
14.77329192546584,34.33734939759036,Y
14.838509316770187,33.33333333333333,Y
14.950310559006212,32.93172690763052,Y
15.01552795031056,32.93172690763052,Y
15.099378881987578,32.73092369477911,Y
15.145962732919255,31.726907630522092,Y
15.192546583850932,30.32128514056224,Y
15.267080745341616,28.313253012048193,Y
15.369565217391305,27.309236947791163,Y
15.462732919254659,25.702811244979927,Y
15.574534161490684,25.301204819277103,Y
15.667701863354038,25.100401606425706,Y
15.779503105590063,24.497991967871485,Y
15.872670807453417,24.698795180722897,Y
15.900621118012424,26.305220883534133,Y
15.937888198757765,27.710843373493972,Y
15.965838509316772,29.317269076305223,Y
16.049689440993788,28.313253012048193,Y
16.133540372670808,26.907630522088354,Y
16.217391304347828,25.301204819277103,Y
16.32919254658385,25.100401606425706,Y
16.440993788819878,24.497991967871485,Y
16.543478260869566,25.301204819277103,Y
16.664596273291927,25.301204819277103,Y
16.795031055900623,24.096385542168676,Y
16.888198757763977,23.694779116465867,Y
11.527757438250914,25.188470066518846,N
11.591636157376373,31.175166297117528,N
11.749940700252667,30.376940133037706,N
11.835352962409116,22.195121951219534,N
12.387180941576858,52.727272727272734,N
12.533955550972,62.705099778270515,N
12.664518125096684,61.10864745011087,N
13.09164131387614,64.90022172949003,N
12.926385809312638,54.32372505543238,N
13.269334295879956,60.310421286031044,N
13.484525344196358,54.32372505543238,N
13.829288918681998,51.529933481152995,N
14.01426287835817,56.71840354767184,N
13.645305006961275,41.55210643015522,N
14.165740215541689,43.946784922394684,N
14.3328933120198,45.34368070953438,N
14.509885010055175,44.14634146341464,N
14.73231578404579,48.13747228381375,N
14.863043366163048,45.742793791574286,N
15.0762955705667,49.13525498891353,N
15.255267364512967,38.35920177383592,N
15.43180529056876,39.3569844789357,N
15.59994843500232,35.964523281596456,N
15.802206981900685,47.53880266075389,N
15.978043623988036,51.92904656319291,N
16.165946475532408,42.949002217294904,N
16.353230547104626,36.96230598669624,N
16.51050379002733,41.15299334811532,N
16.704986335275613,45.34368070953438,N
16.87444954364977,35.56541019955655,N
