dt,db,model
13.589830508474575,8.967032967032964,Y
13.650847457627117,9.49450549450549,Y
13.742372881355932,10.153846153846153,Y
13.833898305084745,10.813186813186817,Y
13.976271186440677,11.472527472527467,Y
13.976271186440677,11.472527472527467,Y
14.077966101694914,11.868131868131869,Y
14.250847457627117,12.131868131868131,Y
14.372881355932202,12.791208791208796,Y
14.372881355932202,12.791208791208796,Y
14.494915254237288,13.714285714285715,Y
14.515254237288135,17.27472527472527,Y
14.535593220338981,21.62637362637362,Y
14.545762711864406,28.35164835164835,Y
14.55593220338983,36,Y
14.576271186440676,40.21978021978022,Y
14.576271186440676,43.78021978021978,Y
14.596610169491523,47.472527472527474,Y
14.616949152542372,48.26373626373626,Y
14.63728813559322,45.89010989010988,Y
14.66779661016949,43.91208791208791,Y
14.698305084745762,41.802197802197796,Y
14.718644067796609,40.08791208791209,Y
14.74915254237288,38.76923076923077,Y
14.820338983050846,38.76923076923077,Y
14.891525423728812,38.1098901098901,Y
14.962711864406778,36.92307692307692,Y
15.02372881355932,34.285714285714285,Y
15.084745762711863,32.43956043956044,Y
15.166101694915252,30.59340659340659,Y
15.216949152542371,28.483516483516482,Y
15.288135593220337,26.901098901098898,Y
15.410169491525423,24.395604395604394,Y
15.491525423728813,23.208791208791204,Y
15.572881355932202,21.890109890109883,Y
15.73559322033898,21.098901098901102,Y
15.877966101694913,19.912087912087905,Y
16.03050847457627,19.64835164835165,Y
16.244067796610167,18.59340659340659,Y
16.477966101694914,18.19780219780219,Y
16.701694915254237,17.67032967032967,Y
16.95593220338983,17.010989010989007,Y
17.138983050847457,16.483516483516482,Y
17.301694915254235,16.35164835164835,Y
17.423728813559322,16.21978021978022,Y
17.5864406779661,15.824175824175825,Y
17.769491525423724,15.560439560439562,Y
17.94237288135593,14.769230769230766,Y
18.094915254237286,15.16483516483516,Y
18.257627118644066,16.35164835164835,Y
18.176271186440676,15.824175824175825,Y
18.3593220338983,16.21978021978022,Y
18.481355932203385,15.956043956043956,Y
18.583050847457624,15.824175824175825,Y
18.664406779661014,15.296703296703292,Y
18.75593220338983,15.42857142857143,Y
18.857627118644064,15.03296703296703,Y
18.969491525423727,14.769230769230766,Y
13.558375634517766,24.920212765957444,N
13.730964467005077,31.037234042553187,N
14.106598984771573,35.42553191489361,N
14.81725888324873,56.30319148936169,N
15.01015228426396,57.10106382978722,N
15.192893401015228,46.063829787234035,N
15.375634517766496,44.20212765957446,N
15.538071065989847,43.936170212765944,N
15.720812182741117,41.010638297872326,N
15.893401015228426,32.367021276595736,N
16.086294416243653,36.22340425531914,N
16.248730964467004,29.574468085106375,N
16.411167512690355,32.10106382978723,N
16.6243654822335,34.89361702127659,N
16.80710659898477,30.37234042553191,N
16.97969543147208,38.88297872340425,N
17.913705583756343,31.170212765957444,N
18.065989847715734,31.037234042553187,N
18.431472081218274,31.170212765957444,N
18.58375634517766,33.82978723404255,N
18.76649746192893,42.07446808510637,N
18.939086294416242,45.93085106382978,N
