start,end,peak,class
2006-12-06 18:29,2006-12-06 19:00,2006-12-06 18:47,X6.5
2010-01-20 17:50,2010-01-20 18:00,2010-01-20 17:55,M3.4
2010-02-06 15:25,2010-02-06 15:49,2010-02-06 15:39,C3.4
2010-10-16 19:07,2010-10-16 19:12,2010-10-16 19:12,M2.9
2010-11-06 15:27,2010-11-06 15:44,2010-11-06 15:36,M5.4
2011-02-13 17:28,2011-02-13 17:38,2011-02-13 17:30,M6.6
2011-02-14 17:20,2011-02-14 17:32,2011-02-14 17:26,M2.2
2011-03-08 18:08,2011-03-08 18:28,2011-03-08 18:28,M4.4
2011-03-12 15:19,2011-03-12 15:34,2011-03-12 15:29,C9.6
2011-03-14 19:30,2011-03-14 19:52,2011-03-14 19:38,M4.2
2011-09-06 22:12,2011-09-06 22:24,2011-09-06 22:20,X2.1
2011-09-07 22:32,2011-09-07 22:44,2011-09-07 22:38,X1.8
2011-09-08 15:32,2011-09-08 15:52,2011-09-08 15:46,M6.7
2011-09-26 14:37,2011-09-26 14:46,2011-09-26 14:46,M2.6
2011-11-03 20:16,2011-11-03 20:32,2011-11-03 20:27,X1.9
2012-03-02 17:29,2012-03-02 18:07,2012-03-02 17:46,M3.3
2012-03-14 15:08,2012-03-14 15:36,2012-03-14 15:21,M2.8
2012-04-18 16:54,2012-04-18 17:18,2012-04-18 17:06,C5.3
2012-05-05 13:19,2012-05-05 13:29,2012-05-05 13:23,M1.4
2012-05-07 17:20,2012-05-07 17:30,2012-05-07 17:21,C7.4
2012-05-08 13:02,2012-05-08 13:12,2012-05-08 13:08,M1.4
2012-05-09 12:21,2012-05-09 12:36,2012-05-09 12:32,M4.7
2012-05-09 14:02,2012-05-09 14:14,2012-05-09 14:08,M1.8
2012-05-09 21:01,2012-05-09 21:09,2012-05-09 21:05,M4.1
2012-07-03 15:19,2012-07-03 15:24,2012-07-03 15:22,C4.1
2012-07-04 12:07,2012-07-04 12:32,2012-07-04 12:24,M2.3
2012-07-04 22:03,2012-07-04 22:15,2012-07-04 22:09,M4.6
2012-07-05 11:39,2012-07-05 11:49,2012-07-05 11:44,M6.1
2012-07-08 12:05,2012-07-08 12:29,2012-07-08 12:09,M1.4
2012-07-15 20:52,2012-07-15 20:58,2012-07-15 20:56,C1.6
2012-07-15 21:43,2012-07-15 21:52,2012-07-15 21:49,C3.5
2012-07-16 13:01,2012-07-16 13:19,2012-07-16 13:10,C2.2
2012-08-17 13:12,2012-08-17 13:23,2012-08-17 13:19,M2.4
2012-08-18 16:02,2012-08-18 16:09,2012-08-18 16:07,M2.0
2012-10-20 18:05,2012-10-20 18:19,2012-10-20 18:14,M9.0
2012-10-22 18:38,2012-10-22 19:01,2012-10-22 18:51,M5.0
2012-11-21 15:10,2012-11-21 15:38,2012-11-21 15:30,M3.5
2013-04-05 17:34,2013-04-05 18:04,2013-04-05 17:48,M2.2
2013-04-12 19:52,2013-04-12 20:46,2013-04-12 20:38,M3.3
2013-05-12 20:17,2013-05-12 21:03,2013-05-12 20:32,M1.9
2013-06-07 22:11,2013-06-07 23:04,2013-06-07 22:49,M5.9
2013-06-23 20:48,2013-06-23 20:59,2013-06-23 20:56,M2.9
2013-10-25 19:05,2013-10-25 19:24,2013-10-25 19:21,M2.3
2013-10-28 14:00,2013-10-28 14:12,2013-10-28 14:05,M2.8
