,start,end,peak,class,ale,ykc,ott,end-2,single,multi,,,,
56,2006-12-06 18:29,2006-12-06 19:00,2006-12-06 18:47,X6.5,-1,-1,1,2006-12-06 20:04,1,1,,,1,leave it
223,2010-01-20 17:50,2010-01-20 18:00,2010-01-20 17:55,M3.4,0,-1,1,2010-01-20 18:38,-1,1,,,-1,omitted
228,2010-02-06 15:25,2010-02-06 15:49,2010-02-06 15:39,C3.4,0,0,1,2010-02-06 15:57,1,1,,,0,recheck
330,2010-10-16 19:07,2010-10-16 19:12,2010-10-16 19:12,M2.9,0,0,1,2010-10-16 19:33,0,1,,,-2,remove the event
356,2010-11-06 15:27,2010-11-06 15:44,2010-11-06 15:36,M5.4,0,0,1,2010-11-06 16:00,1,1,,,,
406,2011-02-13 17:28,2011-02-13 17:38,2011-02-13 17:30,M6.6,-1,0,1,2011-02-13 19:08,0,1,hal,,,
416,2011-02-14 17:20,2011-02-14 17:32,2011-02-14 17:26,M2.2,0,0,1,2011-02-14 18:25,0,1,,,,
591,2011-03-08 18:08,2011-03-08 18:28,2011-03-08 18:28,M4.4,0,0,1,2011-03-08 19:30,1,1,,,,
626,2011-03-12 15:19,2011-03-12 15:34,2011-03-12 15:29,C9.6,0,-1,1,2011-03-12 15:42,0,1,,,,
638,2011-03-14 19:30,2011-03-14 19:52,2011-03-14 19:38,M4.2,0,0,1,2011-03-14 20:46,1,1,spread,,,
1068,2011-09-06 22:12,2011-09-06 22:24,2011-09-06 22:20,X2.1,-1,-1,1,2011-09-06 23:20,1,1,,,,
1071,2011-09-07 22:32,2011-09-07 22:44,2011-09-07 22:38,X1.8,0,-1,1,2011-09-07 23:59,0,1,,,,
1073,2011-09-08 15:32,2011-09-08 15:52,2011-09-08 15:46,M6.7,0,-1,1,2011-09-08 16:36,1,1,spread,,,
1234,2011-09-26 14:37,2011-09-26 14:46,2011-09-26 14:46,M2.6,-1,-1,1,2011-09-26 15:49,1,1,,,,
1436,2011-11-03 20:16,2011-11-03 20:32,2011-11-03 20:27,X1.9,-1,0,1,2011-11-03 22:00,1,1,,,,
1929,2012-03-02 17:29,2012-03-02 18:07,2012-03-02 17:46,M3.3,0,0,1,2012-03-02 20:03,1,1,,,,
2022,2012-03-14 15:08,2012-03-14 15:36,2012-03-14 15:21,M2.8,0,1,1,2012-03-14 16:44,1,1,,,,
2074,2012-04-18 16:54,2012-04-18 17:18,2012-04-18 17:06,C5.3,0,0,1,2012-04-18 17:51,1,1,,,,
2169,2012-05-05 13:19,2012-05-05 13:29,2012-05-05 13:23,M1.4,-1,0,1,2012-05-05 13:40,1,1,,,,
2210,2012-05-07 17:20,2012-05-07 17:30,2012-05-07 17:21,C7.4,-1,0,1,2012-05-07 17:38,1,1,,,,
2214,2012-05-08 13:02,2012-05-08 13:12,2012-05-08 13:08,M1.4,0,0,1,2012-05-08 13:33,0,1,,,,
2218,2012-05-09 12:21,2012-05-09 12:36,2012-05-09 12:32,M4.7,1,1,1,2012-05-09 13:31,0,1,,,,
2219,2012-05-09 14:02,2012-05-09 14:14,2012-05-09 14:08,M1.8,0,0,1,2012-05-09 14:28,0,1,,,,
2223,2012-05-09 21:01,2012-05-09 21:09,2012-05-09 21:05,M4.1,1,1,1,2012-05-09 22:11,0,1,,,,
2536,2012-07-03 15:19,2012-07-03 15:24,2012-07-03 15:22,C4.1,-1,1,1,2012-07-03 15:24,-1,-1,,,,
2548,2012-07-04 12:07,2012-07-04 12:32,2012-07-04 12:24,M2.3,-1,1,1,2012-07-04 13:02,1,1,,,,
2557,2012-07-04 22:03,2012-07-04 22:15,2012-07-04 22:09,M4.6,-1,1,1,2012-07-04 22:38,1,1,,,,
2570,2012-07-05 11:39,2012-07-05 11:49,2012-07-05 11:44,M6.1,-1,-1,1,2012-07-05 11:54,1,1,,,,
2621,2012-07-08 12:05,2012-07-08 12:29,2012-07-08 12:09,M1.4,-1,0,1,2012-07-08 12:29,0,1,,,,
2675,2012-07-15 20:52,2012-07-15 20:58,2012-07-15 20:56,C1.6,-1,-1,1,2012-07-15 20:58,-1,-1,,,,
2676,2012-07-15 21:43,2012-07-15 21:52,2012-07-15 21:49,C3.5,-1,-1,1,2012-07-15 21:59,1,-1,,,,
2683,2012-07-16 13:01,2012-07-16 13:19,2012-07-16 13:10,C2.2,-1,-1,1,2012-07-16 13:19,1,1,,,,
2830,2012-08-17 13:12,2012-08-17 13:23,2012-08-17 13:19,M2.4,0,0,1,2012-08-17 13:43,0,1,,,,
2848,2012-08-18 16:02,2012-08-18 16:09,2012-08-18 16:07,M2.0,0,0,1,2012-08-18 16:21,0,1,,,,
3082,2012-10-20 18:05,2012-10-20 18:19,2012-10-20 18:14,M9.0,-1,-1,1,2012-10-20 21:38,1,1,,,,
3097,2012-10-22 18:38,2012-10-22 19:01,2012-10-22 18:51,M5.0,-1,-1,1,2012-10-22 20:28,1,1,,,,
3201,2012-11-21 15:10,2012-11-21 15:38,2012-11-21 15:30,M3.5,-1,0,1,2012-11-21 17:09,1,1,,,,
3505,2013-04-05 17:34,2013-04-05 18:04,2013-04-05 17:48,M2.2,-1,-1,1,2013-04-05 18:39,1,1,,,,
3548,2013-04-12 19:52,2013-04-12 20:46,2013-04-12 20:38,M3.3,-1,-1,1,2013-04-12 21:33,1,1,,,,
3778,2013-05-12 20:17,2013-05-12 21:03,2013-05-12 20:32,M1.9,-1,-1,1,2013-05-12 21:58,1,1,,,,
3870,2013-06-07 22:11,2013-06-07 23:04,2013-06-07 22:49,M5.9,-1,-1,1,2013-06-07 23:59,0,1,,,,
3908,2013-06-23 20:48,2013-06-23 20:59,2013-06-23 20:56,M2.9,-1,-1,1,2013-06-23 21:04,0,1,,,,
4290,2013-10-25 19:05,2013-10-25 19:24,2013-10-25 19:21,M2.3,-1,-1,1,2013-10-25 20:49,1,1,,,,
4327,2013-10-28 14:00,2013-10-28 14:12,2013-10-28 14:05,M2.8,-1,-1,1,2013-10-28 14:20,1,1,,,,
4341,2013-10-29 21:42,2013-10-29 22:01,2013-10-29 21:54,X2.3,-1,-1,1,2013-10-29 23:10,1,1,,,,
4344,2013-10-31 13:36,2013-10-31 14:02,2013-10-31 13:51,M1.9,-1,-1,1,2013-10-31 18:15,1,1,,,,
4700,2013-12-22 14:45,2013-12-22 15:33,2013-12-22 15:12,M3.3,-1,-1,1,2013-12-22 17:52,1,1,,,,
4927,2014-01-30 15:48,2014-01-30 16:28,2014-01-30 16:11,M6.6,-1,-1,1,2014-01-30 19:46,1,1,,,,
4956,2014-02-02 18:05,2014-02-02 18:18,2014-02-02 18:11,M3.1,-1,-1,1,2014-02-02 20:02,1,1,,,,
5479,2014-04-16 19:54,2014-04-16 20:04,2014-04-16 19:59,M1.0,-1,-1,1,2014-04-16 21:59,1,1,,,,
5485,2014-04-17 16:25,2014-04-17 16:36,2014-04-17 16:30,C2.4,-1,-1,1,2014-04-17 16:43,1,1,,,,
5503,2014-04-19 19:25,2014-04-19 19:37,2014-04-19 19:32,C4.7,-1,-1,1,2014-04-19 19:59,0,1,,,,
5696,2014-06-06 19:26,2014-06-06 19:33,2014-06-06 19:31,M1.4,-1,-1,1,2014-06-06 19:41,-1,1,,,,
5714,2014-06-10 11:36,2014-06-10 11:44,2014-06-10 11:42,X2.2,-1,-1,1,2014-06-10 12:15,1,1,spread,,,
5715,2014-06-10 12:36,2014-06-10 13:03,2014-06-10 12:52,X1.5,-1,-1,1,2014-06-10 14:30,1,1,,,,
5731,2014-06-11 20:53,2014-06-11 21:10,2014-06-11 21:03,M3.9,-1,-1,1,2014-06-11 21:29,0,1,,,,
5740,2014-06-12 15:57,2014-06-12 16:09,2014-06-12 16:03,C7.8,-1,-1,1,2014-06-12 16:20,1,1,,,,
5741,2014-06-12 16:21,2014-06-12 16:28,2014-06-12 16:25,C3.5,-1,-1,0,2014-06-12 16:28,-1,-1,,,,
5743,2014-06-12 18:03,2014-06-12 18:23,2014-06-12 18:13,M1.3,-1,-1,1,2014-06-12 19:55,1,1,,,,
5745,2014-06-12 21:01,2014-06-12 21:19,2014-06-12 21:13,M1.0,-1,-1,1,2014-06-12 21:33,1,1,,,,
5746,2014-06-12 21:34,2014-06-12 22:52,2014-06-12 22:16,M3.1,-1,-1,1,2014-06-12 23:59,1,1,,,,
5762,2014-06-14 19:23,2014-06-14 19:34,2014-06-14 19:29,M1.4,-1,-1,1,2014-06-14 20:04,1,1,,,,
5922,2014-08-01 14:43,2014-08-01 14:57,2014-08-01 14:48,M2.0,-1,-1,1,2014-08-01 17:37,1,1,,,,
5978,2014-08-21 13:19,2014-08-21 13:42,2014-08-21 13:31,M3.4,-1,-1,1,2014-08-21 16:08,1,1,,,,
5980,2014-08-21 18:56,2014-08-21 19:20,2014-08-21 19:04,C7.3,-1,-1,1,2014-08-21 19:42,-1,1,,,,
6005,2014-08-24 12:00,2014-08-24 12:25,2014-08-24 12:17,M5.9,-1,-1,1,2014-08-24 15:35,1,1,,,,
6012,2014-08-25 14:46,2014-08-25 15:31,2014-08-25 15:11,M2.0,-1,-1,1,2014-08-25 17:43,1,1,,,,
6013,2014-08-25 20:06,2014-08-25 20:29,2014-08-25 20:21,M3.9,-1,-1,1,2014-08-25 22:35,1,1,,,,
6060,2014-09-03 13:20,2014-09-03 14:23,2014-09-03 13:54,M2.5,-1,-1,1,2014-09-03 19:49,1,1,,,,
6067,2014-09-04 13:10,2014-09-04 13:45,2014-09-04 13:30,C6.3,-1,-1,1,2014-09-04 14:15,0,1,,,,
6069,2014-09-04 16:21,2014-09-04 16:48,2014-09-04 16:32,C5.7,-1,-1,1,2014-09-04 17:12,1,1,remove,,,
6082,2014-09-06 16:50,2014-09-06 17:22,2014-09-06 17:09,M1.1,-1,-1,1,2014-09-06 17:43,1,1,,,,
6089,2014-09-07 19:29,2014-09-07 19:52,2014-09-07 19:43,C7.8,-1,-1,1,2014-09-07 21:33,0,1,,,,
6097,2014-09-10 16:59,2014-09-10 22:40,2014-09-10 17:33,X1.6,-1,-1,1,2014-09-10 22:40,0,1,,,,
6102,2014-09-11 15:20,2014-09-11 15:31,2014-09-11 15:26,M2.1,-1,-1,1,2014-09-11 16:25,0,1,,,,
6103,2014-09-11 21:01,2014-09-11 21:30,2014-09-11 21:26,M1.4,-1,-1,1,2014-09-11 22:21,0,1,,,,
6138,2014-09-17 19:26,2014-09-17 20:13,2014-09-17 19:48,C7.5,-1,-1,1,2014-09-17 20:59,1,1,,,,
6167,2014-09-26 16:13,2014-09-26 16:25,2014-09-26 16:18,C7.9,-1,-1,1,2014-09-26 17:16,1,1,,,,
6179,2014-09-28 16:34,2014-09-28 17:33,2014-09-28 18:00,M1.0,-1,-1,1,2014-09-28 20:25,1,1,lots of high SZA data,,,
