dn,start,end,bgc,flare
2015-03-11 16:22:00,2015-03-11 16:00:00,2015-03-11 17:00:00,Y,Y
2011-03-09 23:22:00,2011-03-09 23:00:00,2011-03-09 23:59:00,Y,Y
2011-09-06 22:20:00,2011-09-06 22:00:00,2011-09-06 23:00:00,Y,Y
2011-09-07 22:38:00,2011-09-07 22:20:00,2011-09-07 23:10:00,Y,Y
2011-11-03 20:27:00,2011-11-03 20:10:00,2011-11-03 21:00:00,Y,Y
2012-01-27 18:37:00,2012-01-27 18:10:00,2012-01-27 19:00:00,Y,Y
2013-05-13 16:05:00,2013-05-13 15:40:00,2013-05-13 16:40:00,Y,Y
2013-05-14 01:11:00,2013-05-14 00:50:00,2013-05-14 01:40:00,Y,Y
2013-10-29 21:54:00,2013-10-29 21:30:00,2013-10-29 22:30:00,Y,Y
2013-11-05 22:12:00,2013-11-05 21:50:00,2013-11-05 22:30:00,Y,Y
2014-03-29 17:48:00,2014-03-29 17:30:00,2014-03-29 18:30:00,Y,Y
2014-06-10 11:42:00,2014-06-10 11:20:00,2014-06-10 12:20:00,Y,Y
2014-06-10 12:52:00,2014-06-10 12:40:00,2014-06-10 13:30:00,Y,Y
2017-09-06 12:02:00,2017-09-06 11:40:00,2017-09-06 17:00:00,Y,Y
2011-03-09 23:23:00,2011-03-09 23:00:00,2011-03-09 23:59:00,Y,Y
2011-09-08 15:46:00,2011-09-08 15:30:00,2011-09-08 16:10:00,Y,Y
2011-02-13 17:38:00,2011-02-13 17:20:00,2011-02-13 18:00:00,Y,Y
2011-09-24 20:36:00,2011-09-24 20:20:00,2011-09-24 20:50:00,Y,Y
2011-03-08 18:28:00,2011-03-08 18:00:00,2011-03-08 19:00:00,Y,Y
2011-11-02 22:01:00,2011-11-02 21:50:00,2011-11-02 22:30:00,Y,Y
