Photon|Coherent|Incoher|Photoel|Nuclear|electron|TotC|TotI|
1.000e-03|1.320e+00|1.028e-02|3.568e+03|0.000e+00|0.000e+00|3.570e+03|3.568e+03|
1.500e-03|1.206e+00|2.085e-02|1.184e+03|0.000e+00|0.000e+00|1.185e+03|1.184e+03|
2.000e-03|1.078e+00|3.281e-02|5.256e+02|0.000e+00|0.000e+00|5.267e+02|5.256e+02|
3.000e-03|8.353e-01|5.654e-02|1.618e+02|0.000e+00|0.000e+00|1.627e+02|1.619e+02|
4.000e-03|6.448e-01|7.678e-02|6.868e+01|0.000e+00|0.000e+00|6.941e+01|6.876e+01|
5.000e-03|5.072e-01|9.260e-02|3.496e+01|0.000e+00|0.000e+00|3.556e+01|3.505e+01|
6.000e-03|4.095e-01|1.046e-01|2.000e+01|0.000e+00|0.000e+00|2.051e+01|2.010e+01|
8.000e-03|2.868e-01|1.212e-01|8.198e+00|0.000e+00|0.000e+00|8.606e+00|8.319e+00|
1.000e-02|2.160e-01|1.319e-01|4.070e+00|0.000e+00|0.000e+00|4.418e+00|4.202e+00|
1.500e-02|1.268e-01|1.478e-01|1.120e+00|0.000e+00|0.000e+00|1.395e+00|1.268e+00|
2.000e-02|8.426e-02|1.564e-01|4.431e-01|0.000e+00|0.000e+00|6.838e-01|5.995e-01|
3.000e-02|4.440e-02|1.631e-01|1.182e-01|0.000e+00|0.000e+00|3.257e-01|2.813e-01|
4.000e-02|2.713e-02|1.636e-01|4.593e-02|0.000e+00|0.000e+00|2.367e-01|2.096e-01|
5.000e-02|1.825e-02|1.618e-01|2.199e-02|0.000e+00|0.000e+00|2.020e-01|1.838e-01|
6.000e-02|1.310e-02|1.590e-01|1.203e-02|0.000e+00|0.000e+00|1.841e-01|1.710e-01|
8.000e-02|7.669e-03|1.526e-01|4.641e-03|0.000e+00|0.000e+00|1.649e-01|1.572e-01|
1.000e-01|5.015e-03|1.463e-01|2.219e-03|0.000e+00|0.000e+00|1.535e-01|1.485e-01|
1.500e-01|2.284e-03|1.326e-01|5.860e-04|0.000e+00|0.000e+00|1.355e-01|1.332e-01|
2.000e-01|1.297e-03|1.218e-01|2.313e-04|0.000e+00|0.000e+00|1.234e-01|1.221e-01|
3.000e-01|5.804e-04|1.062e-01|6.526e-05|0.000e+00|0.000e+00|1.068e-01|1.063e-01|
4.000e-01|3.273e-04|9.522e-02|2.792e-05|0.000e+00|0.000e+00|9.558e-02|9.525e-02|
5.000e-01|2.097e-04|8.701e-02|1.505e-05|0.000e+00|0.000e+00|8.723e-02|8.702e-02|
6.000e-01|1.457e-04|8.049e-02|9.368e-06|0.000e+00|0.000e+00|8.065e-02|8.050e-02|
8.000e-01|8.202e-05|7.073e-02|4.727e-06|0.000e+00|0.000e+00|7.082e-02|7.074e-02|
1.000e+00|5.251e-05|6.362e-02|2.939e-06|0.000e+00|0.000e+00|6.367e-02|6.362e-02|
1.022e+00|5.028e-05|6.295e-02|2.733e-06|0.000e+00|0.000e+00|6.300e-02|6.295e-02|
1.250e+00|3.362e-05|5.689e-02|1.856e-06|1.726e-05|0.000e+00|5.694e-02|5.691e-02|
1.500e+00|2.334e-05|5.171e-02|1.347e-06|9.554e-05|0.000e+00|5.183e-02|5.180e-02|
2.000e+00|1.313e-05|4.413e-02|8.475e-07|3.805e-04|0.000e+00|4.452e-02|4.451e-02|
2.044e+00|1.257e-05|4.357e-02|8.199e-07|4.100e-04|0.000e+00|4.400e-02|4.398e-02|
3.000e+00|5.837e-06|3.471e-02|4.739e-07|1.088e-03|1.215e-05|3.582e-02|3.581e-02|
4.000e+00|3.284e-06|2.896e-02|3.254e-07|1.765e-03|4.959e-05|3.077e-02|3.077e-02|
5.000e+00|2.101e-06|2.501e-02|2.468e-07|2.369e-03|9.881e-05|2.748e-02|2.747e-02|
6.000e+00|1.459e-06|2.210e-02|1.985e-07|2.911e-03|1.517e-04|2.517e-02|2.516e-02|
