Photon|Coherent|Incoher|Photoel|Nuclear|electron|TotC|TotI|
1.000e-03|1.386e+00|9.637e-03|3.939e+03|0.000e+00|0.000e+00|3.941e+03|3.939e+03|
1.500e-03|1.274e+00|1.970e-02|1.316e+03|0.000e+00|0.000e+00|1.317e+03|1.316e+03|
2.000e-03|1.145e+00|3.123e-02|5.867e+02|0.000e+00|0.000e+00|5.879e+02|5.867e+02|
3.000e-03|8.960e-01|5.449e-02|1.815e+02|0.000e+00|0.000e+00|1.825e+02|1.816e+02|
4.000e-03|6.951e-01|7.467e-02|7.727e+01|0.000e+00|0.000e+00|7.804e+01|7.734e+01|
5.000e-03|5.475e-01|9.072e-02|3.941e+01|0.000e+00|0.000e+00|4.005e+01|3.950e+01|
6.000e-03|4.417e-01|1.031e-01|2.258e+01|0.000e+00|0.000e+00|2.312e+01|2.268e+01|
8.000e-03|3.078e-01|1.201e-01|9.277e+00|0.000e+00|0.000e+00|9.705e+00|9.397e+00|
1.000e-02|2.307e-01|1.310e-01|4.614e+00|0.000e+00|0.000e+00|4.976e+00|4.745e+00|
1.500e-02|1.348e-01|1.470e-01|1.273e+00|0.000e+00|0.000e+00|1.555e+00|1.420e+00|
2.000e-02|8.957e-02|1.555e-01|5.047e-01|0.000e+00|0.000e+00|7.498e-01|6.602e-01|
3.000e-02|4.733e-02|1.625e-01|1.349e-01|0.000e+00|0.000e+00|3.447e-01|2.973e-01|
4.000e-02|2.896e-02|1.632e-01|5.248e-02|0.000e+00|0.000e+00|2.446e-01|2.157e-01|
5.000e-02|1.949e-02|1.615e-01|2.515e-02|0.000e+00|0.000e+00|2.061e-01|1.866e-01|
6.000e-02|1.400e-02|1.588e-01|1.377e-02|0.000e+00|0.000e+00|1.865e-01|1.725e-01|
8.000e-02|8.203e-03|1.525e-01|5.316e-03|0.000e+00|0.000e+00|1.660e-01|1.578e-01|
1.000e-01|5.369e-03|1.462e-01|2.543e-03|0.000e+00|0.000e+00|1.541e-01|1.487e-01|
1.500e-01|2.448e-03|1.326e-01|6.721e-04|0.000e+00|0.000e+00|1.357e-01|1.333e-01|
2.000e-01|1.390e-03|1.218e-01|2.654e-04|0.000e+00|0.000e+00|1.235e-01|1.221e-01|
3.000e-01|6.224e-04|1.062e-01|7.494e-05|0.000e+00|0.000e+00|1.069e-01|1.063e-01|
4.000e-01|3.510e-04|9.522e-02|3.207e-05|0.000e+00|0.000e+00|9.561e-02|9.526e-02|
5.000e-01|2.249e-04|8.701e-02|1.729e-05|0.000e+00|0.000e+00|8.726e-02|8.703e-02|
6.000e-01|1.563e-04|8.050e-02|1.076e-05|0.000e+00|0.000e+00|8.067e-02|8.051e-02|
8.000e-01|8.799e-05|7.074e-02|5.432e-06|0.000e+00|0.000e+00|7.084e-02|7.075e-02|
1.000e+00|5.632e-05|6.363e-02|3.377e-06|0.000e+00|0.000e+00|6.369e-02|6.363e-02|
